City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
239,Kruisfontein,ZA,62.8,clear sky,-34.0033,24.7314,Oyster Bay House Rental
240,Lodwar,KE,83.59,overcast clouds,3.1191,35.5973,Turkwel Lodge
241,Necochea,AR,64.99,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
242,Sinnamary,GF,78.93,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
243,Sompeta,IN,80.1,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
244,Port Hardy,CA,69.8,clear sky,50.6996,-127.4199,Airport Inn
247,Phangnga,TH,84.0,few clouds,8.4509,98.5298,Rattanapong Hotel
252,Del Rio,US,68.0,overcast clouds,29.3627,-100.8968,Holiday Inn Express & Suites del Rio
255,Bell Ville,AR,69.01,clear sky,-32.6259,-62.6887,Hotel Central
258,Makasar,ID,78.8,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
264,Buala,SB,85.86,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
267,Yulara,AU,66.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
270,San Jose,US,73.99,clear sky,37.3394,-121.895,The Westin San Jose
272,Loubomo,CG,72.41,overcast clouds,-4.1997,12.6739,La Dolisienne
275,Kuching,MY,73.4,light rain,1.55,110.3333,The Ranee Boutique Suites
277,Alice Town,BS,78.73,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
278,Amahai,ID,86.0,light rain,-3.3333,128.9167,HOTEL ISABELA
283,Nampula,MZ,66.2,scattered clouds,-15.1165,39.2666,BUTIK Hotel
285,San Felipe,VE,73.54,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
287,Paracuru,BR,81.0,few clouds,-3.41,-39.0306,Hotel Vento Brasil
288,Yeppoon,AU,77.0,clear sky,-23.1333,150.7333,Villa Mar Colina
292,Khawhai,IN,63.28,clear sky,23.3667,93.1167,Homestay Khawhai
298,Cabo San Lucas,MX,80.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
299,Lorengau,PG,83.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
301,Sibolga,ID,79.14,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
305,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
308,Cairns,AU,84.99,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
309,Sao Joao Do Paraiso,BR,71.26,overcast clouds,-15.3136,-42.0144,Avenida Palace Hotel
310,Villa Bruzual,VE,82.72,overcast clouds,9.3328,-69.1208,Edificio Guarente
313,Pontes E Lacerda,BR,74.08,few clouds,-15.2261,-59.3353,Hotel Bressan
314,Ajdabiya,LY,75.54,overcast clouds,30.7554,20.2263,Almadina Hotel
