City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Ostrovnoy,RU,2021-04-16 20:42:28,68.0531,39.5131,36.93,86,100,21.36
138,Llata,PE,2021-04-16 20:42:29,-9.4167,-76.7833,62.13,67,100,6.55
139,Falun,SE,2021-04-16 20:42:29,60.6036,15.626,39.2,56,21,2.3
140,Chuy,UY,2021-04-16 20:32:52,-33.6971,-53.4616,68.85,86,98,4.63
141,Nantucket,US,2021-04-16 20:42:29,41.2835,-70.0995,41.0,81,90,29.93
142,Toamasina,MG,2021-04-16 20:42:30,-18.1667,49.3833,73.4,94,75,5.75
143,Sitio Novo Do Tocantins,BR,2021-04-16 20:42:30,-5.5183,-47.4611,76.86,93,100,1.88
144,Outjo,NA,2021-04-16 20:42:30,-20.1167,16.15,67.66,36,47,7.23
145,Carnarvon,AU,2021-04-16 20:42:31,-24.8667,113.6333,74.86,38,1,10.38
146,Cedar City,US,2021-04-16 20:42:31,37.6775,-113.0619,53.01,32,75,5.75
147,Vardo,NO,2021-04-16 20:38:04,70.3705,31.1107,37.4,87,40,21.85
148,Ahuimanu,US,2021-04-16 20:42:32,21.4447,-157.8378,78.8,61,40,5.75
149,Krasnoselkup,RU,2021-04-16 20:38:27,65.7,82.4667,4.51,95,100,7.31
150,Batagay-Alyta,RU,2021-04-16 20:42:32,67.8006,130.4114,9.77,94,100,2.37
151,Faanui,PF,2021-04-16 20:32:55,-16.4833,-151.75,82.27,74,9,10.69
152,Sao Filipe,CV,2021-04-16 20:42:33,14.8961,-24.4956,71.47,75,1,12.26
153,Port Lincoln,AU,2021-04-16 20:33:16,-34.7333,135.8667,56.12,75,10,5.68
154,Khrebtovaya,RU,2021-04-16 20:42:33,56.7032,104.2494,38.95,89,100,15.39
155,Hongjiang,CN,2021-04-16 20:42:33,27.11,109.9956,59.77,97,100,2.82
156,Souillac,MU,2021-04-16 20:42:34,-20.5167,57.5167,78.8,89,75,5.75
157,Bambous Virieux,MU,2021-04-16 20:34:23,-20.3428,57.7575,80.01,89,75,5.75
158,Trinidad,BO,2021-04-16 20:42:34,-14.8333,-64.9,78.8,94,75,6.91
159,Padang,ID,2021-04-16 20:42:34,-0.9492,100.3543,77.0,94,75,1.14
160,Greenfield,US,2021-04-16 20:41:46,42.9614,-88.0126,54.0,70,75,9.22
161,Palmas,BR,2021-04-16 20:42:35,-10.2128,-48.3603,84.2,70,40,2.3
162,Camana,PE,2021-04-16 20:42:35,-16.6228,-72.7111,70.97,72,1,7.72
163,Martapura,ID,2021-04-16 20:42:36,-3.4167,114.85,73.4,94,74,0.92
164,Rapid Valley,US,2021-04-16 20:42:36,44.0625,-103.1463,43.0,75,90,19.57
165,Noshiro,JP,2021-04-16 20:42:36,40.2039,140.0242,51.89,80,100,5.26
166,Santa Fe,AR,2021-04-16 20:42:37,-31.6333,-60.7,76.98,67,0,4.79
167,Burnie,AU,2021-04-16 20:42:37,-41.0667,145.9167,50.0,78,87,1.99
168,Waitati,NZ,2021-04-16 20:42:37,-45.75,170.5667,50.0,60,11,13.0
169,Ca Mau,VN,2021-04-16 20:40:11,9.1769,105.15,77.88,81,100,2.86
170,Irece,BR,2021-04-16 20:42:38,-11.3042,-41.8558,79.41,42,23,16.37
171,Bandarbeyla,SO,2021-04-16 20:42:38,9.4942,50.8122,80.82,72,4,7.54
172,Okahandja,NA,2021-04-16 20:42:39,-21.9833,16.9167,66.0,42,3,6.91
173,Half Moon Bay,US,2021-04-16 20:42:39,37.4636,-122.4286,66.99,82,1,13.8
174,Yumen,CN,2021-04-16 20:34:23,40.2833,97.2,41.56,20,23,7.36
