City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
135,Tucuman,AR,-26.8241,-65.2226,73.4,88,75,4.61,broken clouds
136,Tarjan,HU,47.6104,18.5107,45.0,80,100,4.0,overcast clouds
137,Kodinsk,RU,58.6881,99.1844,21.52,76,86,4.9,overcast clouds
138,Saint-Augustin,CA,51.226,-58.6502,32.31,78,13,15.64,few clouds
139,Erzin,TR,36.9559,36.2,69.01,56,100,1.99,overcast clouds
140,Puerto Escondido,MX,15.85,-97.0667,82.4,78,20,11.5,few clouds
141,Dikson,RU,73.5069,80.5464,-13.52,99,35,2.66,scattered clouds
142,Paita,PE,-5.0892,-81.1144,73.4,68,0,17.27,clear sky
143,Mareeba,AU,-17.0,145.4333,84.99,69,75,16.11,broken clouds
144,Galle,LK,6.0367,80.217,77.76,87,100,3.6,overcast clouds
145,Tigil,RU,57.8,158.6667,35.24,97,100,12.3,overcast clouds
146,San Patricio,US,28.017,-97.5169,62.6,67,90,16.11,overcast clouds
147,Murray Bridge,AU,-35.1167,139.2667,63.0,77,14,7.36,few clouds
148,Southbridge,US,42.0751,-72.0334,44.01,80,97,2.77,overcast clouds
149,Gazli,UZ,40.1333,63.45,60.57,52,5,3.24,clear sky
150,Bambous Virieux,MU,-20.3428,57.7575,75.99,94,75,5.75,broken clouds
151,Samarai,PG,-10.6167,150.6667,84.31,73,69,12.68,broken clouds
152,Bethel,US,41.3712,-73.414,48.0,68,100,2.77,overcast clouds
153,Mezen,RU,65.8522,44.24,23.67,84,25,4.41,scattered clouds
154,Tazovskiy,RU,67.4667,78.7,-0.85,96,100,8.79,overcast clouds
155,Carnarvon,AU,-24.8667,113.6333,78.57,46,43,2.8,scattered clouds
156,Mazagao,BR,-0.115,-51.2894,77.0,100,75,2.3,broken clouds
157,Puerto Del Rosario,ES,28.5004,-13.8627,66.2,72,90,18.41,overcast clouds
158,Berlevag,NO,70.8578,29.0864,35.83,84,56,13.82,broken clouds
159,Margate,GB,51.3813,1.3862,41.0,74,90,10.27,overcast clouds
160,Te Anau,NZ,-45.4167,167.7167,55.89,80,84,6.62,broken clouds
161,Tura,IN,25.5198,90.2201,70.9,78,1,3.69,clear sky
162,Metro,ID,-5.1131,105.3067,77.27,83,87,2.71,overcast clouds
163,Lakes Entrance,AU,-37.8811,147.981,64.99,56,6,1.01,clear sky
164,Hasaki,JP,35.7333,140.8333,66.2,32,20,17.27,few clouds
165,Den Helder,NL,52.9599,4.7593,43.0,93,90,3.44,overcast clouds
166,Aklavik,CA,68.2191,-135.0107,48.2,31,20,6.91,few clouds
167,Nikita,UA,44.5333,34.2333,46.99,68,77,8.95,broken clouds
168,Hambantota,LK,6.1241,81.1185,77.0,100,40,3.44,scattered clouds
169,Westport,US,41.1415,-73.3579,51.8,50,90,6.91,overcast clouds
170,Geraldton,AU,-28.7667,114.6,69.8,37,0,4.61,clear sky
171,Manati,PR,18.4275,-66.4921,81.0,74,3,7.4,clear sky
172,Bengkulu,ID,-3.8004,102.2655,77.16,83,98,3.18,overcast clouds
173,Yarada,IN,17.65,83.2667,80.6,94,20,2.3,mist
174,Dunedin,NZ,-45.8742,170.5036,56.61,61,100,3.85,overcast clouds
175,Kaitangata,NZ,-46.2817,169.8464,60.01,61,48,3.0,scattered clouds
176,Anadyr,RU,64.75,177.4833,26.6,93,90,11.18,snow
177,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,73.13,98,97,1.66,overcast clouds
178,Victoria,HK,22.2855,114.1577,77.0,58,55,1.01,broken clouds
179,Chenzhou,CN,25.8,113.0333,63.66,97,100,1.5,overcast clouds
180,Saint George,US,37.1041,-113.5841,64.99,19,1,18.41,clear sky
181,Vardo,NO,70.3705,31.1107,34.63,89,46,10.47,scattered clouds
182,Richards Bay,ZA,-28.783,32.0377,60.35,75,0,10.22,clear sky
